姓名,研究领域,教学情况
鲍宗亮,产品设计 UI设计 用户体验 数据分析 交互设计 品牌设计 数字媒体,长期教授《数字媒体设计基础》《书写与沟通》等专业课程 产品设计与用户体验研究
陈芳妮,算法 深度学习 计算机视觉 人工智能 人体姿态估计 脑电信息处理 机器学习,教授《深度学习与计算机视觉》《科技英语》等专业课程 计算机视觉算法研究
胡昳,UI设计 产品设计 互联网产品 交互设计 用户体验 数字媒体 产品开发,主要负责实验室管理 从事《数字媒体设计基础》等课程教学工作 互联网产品设计与UI设计
琚洁慧,前端开发 UI设计 交互设计 程序设计 用户体验 软件开发 Python C语言,长期教授《C语言程序设计》《Python程序设计》《信息高级程序设计》等程序设计类课程 前端开发与UI设计
柳杨,算法 人工智能 自然语言处理 知识图谱 深度学习 机器学习 产品设计 互联网产品,教授《互联网产品交互设计》《计算数学》等课程 人工智能算法与产品设计研究
林雪芬,大数据 数据挖掘 数据分析 机器学习 游戏场景设计 游戏设计 人工智能,长期从事游戏场景设计 软件工程等课程教学工作 大数据分析与游戏场景设计研究
林志洁,算法 人工智能 深度学习 机器学习 计算机视觉 数据挖掘 后端开发 程序设计 Java Python 软件开发,教授《人工智能导论》《深度学习》《面向对象》《区块链》等课程 ACM竞赛指导 算法与后端开发
林焕祥,后端开发 程序设计 数据结构 C++ 软件开发 数据库 算法设计 系统开发,长期从事《C++程序设计》《数据结构与算法》《数据库设计基础》等基础课程教学 ACM竞赛团队教练
刘省权,影视 短视频 视频编导 视频剪辑 影视后期 新媒体 数字媒体 媒体技术,主要从事影视媒体技术方向 短视频策划与制作 影视后期 新媒体运营等教学工作
潘垚,产品设计 UI设计 品牌设计 用户体验 交互设计 视觉设计 数字产品 前端开发,长期教授《图形技术》《色彩构成》及《动漫设计》等专业课程 数字产品品牌设计与用户体验研究
彭燕妮,大数据 数据可视化 数据分析 数据挖掘 计算机图形学 前端开发,教授《数据可视化》《计算机图形学》及《编码高级程序设计》等专业课程 大数据分析与前端开发
潘旭峰,云计算 后端开发 计算机网络 系统开发 分布式 网络 服务器,长期从事实验教学工作 担任《计算机应用》《计算机维护》《程序设计实验》等专业课程 云计算与后端开发
宋蔚,数字图像处理 数字媒体 视觉设计 图像处理 计算机视觉 非遗数字化,长期从事数字图像处理 计算机网络等课程教学工作 非遗数字化与数字图像处理研究
唐伟,前端开发 交互设计 HTML5 交互动画 动画 多媒体开发 用户体验 程序设计,从事《HTML5程序设计》《交互动画技术》等课程教学 前端开发与动画交互方向
谭谞,大模型 大语言模型 计算机视觉 多模态 人工智能 深度学习 算法,教授《人工智能导论》《人工智能》《深度学习》等课程 大模型与计算机视觉研究
王亦军,测试 软件测试 信息安全 网络安全 计算机网络 系统开发 C语言,教授《计算机网络》《计算机应用》《计算机实验》等课程 信息安全与软件测试方向
徐志毅,游戏设计 游戏开发 游戏策划 虚拟现实 VR UE 3D 数字媒体,长期从事《游戏设计与开发》《数字视频》等课程教学 游戏开发与虚拟现实方向 UE和3D平台虚拟仿真系统研究
岳鲁鹏,大模型 算法 深度学习 人工智能 数据挖掘 知识图谱,教授《计算机组成原理与系统结构》《白盒测试》等课程 大模型与算法研究
宗畅,算法 大模型 Agent 多智能体 自然语言处理 多模态 人工智能 深度学习 NLP,教授《专业高级技术拓展》《文献检索与论文写作》《大模型与自然语言处理》等课程 大模型与Agent开发研究
张圣律,前端开发 后端开发 移动开发 Java C语言 C++ 程序设计 软件开发 互联网 系统开发,长期教授《C语言程序设计》《C++语言程序设计》《Java语言程序设计》等课程 前端与后端全栈开发方向
郭翔,算法 人工智能 计算机视觉 深度学习 数据挖掘 Python 数据分析,教授《数据挖掘技术与应用》《Python程序设计》《操作系统原理》等课程 人工智能与计算机视觉算法研究
钱小鸿,大数据 数据挖掘 机器学习 深度学习 数据分析 人工智能,人工智能学科带头人 从事信息技术创新与产业化研究 人工智能与大数据产业发展研究
黄杰,云计算 分布式 智慧城市 智慧医疗 大数据 系统开发 网络,主要从事计算与分布式系统研究 智慧城市与智慧医疗领域信息化工作 云计算与系统开发
张丽娟,算法 大模型 自然语言处理 人工智能 深度学习 机器学习 信号检测,主要研究方向包括信号检测 智能反射面 自然语言处理等 算法与大模型开发方向
周群一,前端开发 后端开发 产品设计 移动应用开发 HTML5 多媒体技术 交互设计 数字媒体,从事数字图像处理 移动应用开发 HTML5网站开发 多媒体技术等教学与研究工作 全栈开发与产品设计方向
